l,p,value
1,5,0.956043956043956
1,10,0.956043956043956
1,15,0.9417582417582417
2,5,0.9428571428571428
2,10,0.9417582417582417
2,15,0.9417582417582417
2,20,0.9417582417582417
2,25,0.9274725274725275
2,30,0.9274725274725275
2,35,0.9274725274725275
3,5,0.956043956043956
3,10,0.9274725274725275
3,15,0.9131868131868133
3,20,0.9131868131868133
3,25,0.9274725274725275
3,30,0.9131868131868133
3,35,0.9131868131868133
3,40,0.9131868131868133
3,45,0.9131868131868133
4,5,0.9428571428571428
4,10,0.9274725274725275
4,15,0.9274725274725275
4,20,0.9417582417582417
4,25,0.9131868131868132
4,30,0.9274725274725275
4,35,0.9274725274725275
4,40,0.9274725274725275
4,45,0.9274725274725275
5,5,0.9131868131868133
5,10,0.9131868131868132
5,15,0.9131868131868133
5,20,0.9131868131868133
5,25,0.8989010989010989
5,30,0.8989010989010989
5,35,0.8989010989010989
5,40,0.8989010989010989
5,45,0.8989010989010989
6,5,0.9142857142857143
6,10,0.9274725274725275
6,15,0.8989010989010989
6,20,0.9131868131868133
6,25,0.9131868131868133
6,30,0.9131868131868133
6,35,0.9131868131868133
6,40,0.8989010989010989
6,45,0.8989010989010989
7,5,0.9131868131868133
7,10,0.9714285714285715
7,15,0.9274725274725275
7,20,0.8989010989010989
7,25,0.8989010989010989
7,30,0.8989010989010989
7,35,0.8989010989010989
7,40,0.9131868131868133
7,45,0.9274725274725275
8,5,0.8989010989010989
8,10,0.9285714285714285
8,15,0.9428571428571428
8,20,0.9285714285714286
8,25,0.9285714285714286
8,30,0.9285714285714286
8,35,0.9285714285714285
8,40,0.9428571428571428
8,45,0.9142857142857143
9,5,0.9274725274725275
9,10,0.9428571428571428
9,15,0.9417582417582417
9,20,0.956043956043956
9,25,0.956043956043956
9,30,0.9417582417582417
9,35,0.9274725274725275
9,40,0.9131868131868133
9,45,0.9131868131868133
10,5,0.9274725274725275
10,10,0.9274725274725275
10,15,0.9131868131868133
10,20,0.9274725274725275
10,25,0.9131868131868133
10,30,0.9274725274725275
10,35,0.9274725274725275
10,40,0.9274725274725275
10,45,0.9131868131868133
11,5,0.9285714285714286
11,10,0.9131868131868133
11,15,0.9417582417582417
11,20,0.9131868131868133
11,25,0.9131868131868133
11,30,0.9131868131868133
11,35,0.9131868131868133
11,40,0.8989010989010989
11,45,0.8989010989010989
12,5,0.9142857142857143
12,10,0.8989010989010989
12,15,0.9131868131868132
12,20,0.9131868131868133
12,25,0.9274725274725275
12,30,0.9274725274725275
12,35,0.9131868131868133
12,40,0.8989010989010989
12,45,0.9131868131868133
13,5,0.9274725274725275
13,10,0.9428571428571428
13,15,0.9428571428571428
13,20,0.9417582417582417
13,25,0.9274725274725275
13,30,0.9131868131868133
13,35,0.9131868131868133
13,40,0.9131868131868132
13,45,0.8989010989010989
14,5,0.9571428571428571
14,10,0.9428571428571428
14,15,0.9417582417582417
14,20,0.9131868131868133
14,25,0.9274725274725275
14,30,0.9417582417582417
14,35,0.9417582417582417
14,40,0.9417582417582417
14,45,0.9417582417582417
15,5,0.9428571428571428
15,10,0.9131868131868133
15,15,0.9131868131868133
15,20,0.9131868131868133
15,25,0.8989010989010989
15,30,0.9131868131868133
15,35,0.9131868131868133
15,40,0.9131868131868133
15,45,0.9131868131868133
16,5,0.9274725274725275
16,10,0.9274725274725275
16,15,0.9417582417582417
16,20,0.9417582417582417
16,25,0.9131868131868133
16,30,0.9274725274725275
16,35,0.9131868131868133
16,40,0.9131868131868133
16,45,0.8989010989010989
17,5,0.9417582417582417
17,10,0.9274725274725275
17,15,0.9428571428571428
17,20,0.9428571428571428
17,25,0.8989010989010989
17,30,0.9131868131868133
17,35,0.9131868131868133
17,40,0.9131868131868133
17,45,0.8989010989010989
18,5,0.9417582417582417
18,10,0.9428571428571428
18,15,0.9274725274725275
18,20,0.9428571428571428
18,25,0.9274725274725275
18,30,0.9274725274725275
18,35,0.9131868131868133
18,40,0.9131868131868133
18,45,0.9274725274725275
19,5,0.9274725274725275
19,10,0.9274725274725275
19,15,0.9131868131868133
19,20,0.9285714285714286
19,25,0.9131868131868133
19,30,0.9274725274725275
19,35,0.9131868131868133
19,40,0.9274725274725275
19,45,0.9131868131868133
20,5,0.9131868131868132
20,10,0.9131868131868133
20,15,0.9131868131868133
20,20,0.9131868131868133
20,25,0.9274725274725275
20,30,0.9417582417582417
20,35,0.8989010989010989
20,40,0.9131868131868133
20,45,0.8989010989010989
